,total,url,exchangeId,instrumentType,symbolTicker,symbolExchangeTicker,normalizedTicker,symbolEsignalTicker,instrumentName,micCode
12,6717,https://www.nyse.com/quote/XNGS:AAON,564,COMMON_STOCK,AAON,AAON,AAON,AAON,AAON INC,XNGS
13,6717,https://www.nyse.com/quote/XNYS:AAP,558,COMMON_STOCK,AAP,AAP,AAP,AAP,ADVANCE AUTO PARTS INC,XNYS
14,6717,https://www.nyse.com/quote/XNMS:AAPG,564,DEPOSITORY_RECEIPT,AAPG,AAPG,AAPG,AAPG,ASCENTAGE PHARMA GROUP INTL SPON ADS EACH REP 4 ORD SHS,XNMS
15,6717,https://www.nyse.com/quote/XNGS:AAPL,564,COMMON_STOCK,AAPL,AAPL,AAPL,AAPL,APPLE INC,XNGS
16,6717,https://www.nyse.com/quote/XNGS:AARD,564,COMMON_STOCK,AARD,AARD,AARD,AARD,AARDVARK THERAPEUTICS INC,XNGS
17,6717,https://www.nyse.com/quote/XNYS:AAT,558,REIT,AAT,AAT,AAT,AAT,AMERICAN ASSETS TRUST INC,XNYS
18,6717,https://www.nyse.com/quote/XNCM:ABAT,564,COMMON_STOCK,ABAT,ABAT,ABAT,ABAT,AMERICAN BATTERY TECHNOLOGY CO,XNCM
19,6717,https://www.nyse.com/quote/XNYS:ABBV,558,COMMON_STOCK,ABBV,ABBV,ABBV,ABBV,ABBVIE INC,XNYS
20,6717,https://www.nyse.com/quote/XNYS:ABCB,558,COMMON_STOCK,ABCB,ABCB,ABCB,ABCB,AMERIS BANCORP,XNYS
21,6717,https://www.nyse.com/quote/XNGS:ABCL,564,COMMON_STOCK,ABCL,ABCL,ABCL,ABCL,ABCELLERA BIOLOGICS INC,XNGS
22,6717,https://www.nyse.com/quote/XNCM:ABEO,564,COMMON_STOCK,ABEO,ABEO,ABEO,ABEO,ABEONA THERAPEUTICS INC,XNCM
23,6717,https://www.nyse.com/quote/XNYS:ABEV,558,DEPOSITORY_RECEIPT,ABEV,ABEV,ABEV,ABEV,AMBEV SA SPON ADR EACH REP 1 ORD SHS,XNYS
24,6717,https://www.nyse.com/quote/XNYS:ABG,558,COMMON_STOCK,ABG,ABG,ABG,ABG,ASBURY AUTOMOTIVE GROUP INC,XNYS
25,6717,https://www.nyse.com/quote/XNCM:ABL,564,COMMON_STOCK,ABL,ABL,ABL,ABL,ABACUS LIFE INC,XNCM
