0,A,0.0019145219586316209
1,AAP,0.3331186277226268
2,AAPL,0.004954079166928471
3,AAT,0.09167982990748103
4,ABBV,0.4715107678090107
5,ABCB,0.02020714117088729
6,ABM,0.01794081121128621
7,ABR,0.6779778521538027
8,ACP,0.22658671165022704
9,ACRE,0.2668998883943181
10,ADC,0.08333463379693062
11,ADI,0.07329449534372379
12,ADM,0.043191734812928706
13,ADP,0.06174735726920055
14,ADX,0.5242831740987027
15,AEM,3.572825222564191e-06
16,AEP,0.010133353494506836
17,AES,0.086063827909025
18,AFG,0.9019566329700992
19,AGCO,0.7195507853075176
20,AGM,0.06135621107586975
21,AGNC,0.41148605739722677
22,AGO,0.015271731490984708
23,AHH,7.220542905128635e-05
24,AIG,0.005634435547672401
25,AIN,0.10253216975567425
26,AIT,0.006970831804527289
27,AIZ,0.08448940563981189
28,AJG,0.052838042999376
29,AKR,0.17523069833600335
30,AL,0.01750865988416528
31,ALB,0.04525494120461249
32,ALCO,0.2484819654298911
33,ALE,0.0317430897268588
34,ALG,0.02203571495250356
35,ALL,0.1193006901602357
36,ALLE,0.010488756069115812
37,ALSN,0.044137549614860716
38,ALX,0.1300434038238666
39,AMAT,0.0034296216913332067
40,AME,0.002169333264857687
41,AMGN,0.12453413823884263
42,AMH,0.0029715868244398758
43,AMP,0.02266662843785483
44,AMSF,0.7193042616689181
45,AMT,0.33696387242997494
46,ANDE,0.07530202903376271
47,AOD,0.048175844346130536
48,AON,0.03933318783975981
49,AOS,0.006721415862590896
50,APA,0.009029191256510471
51,APAM,0.6994990891736876
52,APD,0.089991273324877
53,APH,0.0002720769182178451
54,APO,0.08763130146504094
55,APOG,0.04112491918276062
56,ARCB,0.0007577198272725738
57,ARCC,0.0026756465525166195
58,ARDC,0.0014891944605560647
59,ARE,0.09232073567680621
60,ARI,0.23931611054764224
61,ARLP,0.27657393532581576
62,ARMK,0.004509084254606055
63,AROC,0.010917041692284135
64,AROW,0.0006828848780240371
65,ARR,0.38570513733919654
66,ARTNA,0.014689643404174113
67,ASB,0.11563383517291759
68,ASG,0.5319966376183025
69,ASH,0.0022214327233729403
70,ASTE,0.04554884364940781
71,ATLO,0.2775947155497409
72,ATNI,0.07036506703673073
73,ATO,0.0937312499963533
74,ATR,0.008775746142634433
75,AUB,0.06975418392106691
76,AVA,0.0765891838350149
77,AVB,0.0030220183339140227
78,AVGO,0.07053672589083382
79,AVK,0.35714922132006865
80,AWF,0.4876142036003759
81,AWK,0.001697070025829861
82,AWP,0.023417120253011348
83,AWR,0.015595335921407494
84,AXP,0.0018591931047018395
85,AXS,0.039561145046918766
86,AYI,0.27992201589245214
87,AZZ,3.059482907685762e-06
88,BAC,0.09836825504086744
89,BAH,0.07606339699702835
90,BALL,0.10451806744898395
91,BANC,0.12848487752674798
92,BANF,0.0038613879661852923
93,BANR,0.33195167144553106
94,BAX,0.0014016328840321668
95,BBD,0.058650148935265434
96,BBDC,0.848795357828971
97,BBN,0.05695763003010201
98,BBSI,0.05161314851827947
99,BBWI,0.09562729336795217
100,BBY,0.01935841217756451
101,BC,0.006219403154975933
102,BCE,0.04274211783358117
103,BCO,0.008623308063924195
104,BCV,0.8441592125256533
105,BCX,0.24284582795315834
106,BDC,2.220446049250313e-16
107,BDJ,0.2834185622558276
108,BDN,0.006415782446076546
109,BDX,0.0015637677775904857
110,BELFB,0.0
111,BEN,0.7891837289594689
112,BEP,0.1893263521021672
113,BFIN,0.00018426406481886204
114,BFK,0.04293472345550631
115,BFS,0.005264679354863966
116,BFZ,0.09416882424857576
117,BG,0.008009425407497273
118,BGB,0.12913763920606025
119,BGC,0.2925486138795148
120,BGFV,0.5106762536942919
121,BGH,0.2747392129301154
122,BGS,0.40152219444954174
123,BGT,0.01806457938110917
124,BGX,0.3633036338483444
125,BGY,0.30132062386971836
126,BHB,0.011377930257798985
127,BHK,0.0442086844324201
128,BIT,0.11087595653634086
129,BK,0.06398711316229133
130,BKE,0.9014320090961273
131,BKH,0.03460088302308395
132,BKN,0.13541839091311125
133,BKT,0.04009607193068343
134,BKU,0.02295673538676435
135,BLK,0.10564018689160326
136,BLW,0.09022632227865546
137,BLX,0.18112461543835345
138,BME,0.7217589320076763
139,BMI,0.04293692898963053
140,BMO,0.16549073266249514
141,BMRC,0.10952010417634639
142,BMY,0.01595302542373178
143,BN,0.01328783723459126
144,BNS,0.0021738201360975706
145,BNY,0.003149408805953602
146,BOE,0.7792929571214897
147,BOH,0.0038961930774943365
148,BOKF,0.012294908202570065
149,BP,0.04684980590068277
150,BR,0.012933272112942484
151,BRC,0.028230636322694402
152,BRKL,0.044681038826611674
153,BRO,0.1520463872023866
154,BRW,0.12599435346235655
155,BSBR,0.6132293330026355
156,BSET,0.5497644550780463
157,BSRR,0.01879619614993011
158,BTA,0.06446049889203298
159,BTO,0.2743984297173342
160,BTT,0.0007711560101416604
161,BTZ,1.9733247694775358e-06
162,BUI,0.02916488518443605
163,BUSE,0.2042949709245181
164,BWA,0.05888266195280201
165,BWG,0.36631602441900846
166,BWXT,0.011086462196333025
167,BX,0.13841699115466766
168,BXMT,0.20149040466297752
169,BXMX,0.03759947999826185
170,BXP,0.49469339220010744
171,CAC,0.03013944478019903
172,CADE,0.0014263380183612284
173,CAG,0.053661773500694454
174,CAH,0.015466183108114318
175,CAL,-2.220446049250313e-16
176,CAPL,1.496272053336245e-05
177,CASH,0.0029189255827324345
178,CASS,0.04307008979455473
179,CASY,0.13534449379661895
180,CAT,0.0003800159326260433
181,CATY,0.1526390982331981
