ticker_name,alfa,erro_alfa,significancia_alfa,beta_dividendo,erro_beta,significancia_beta,r2,r2_ajustado,f_stat,p_f_stat,durbin_watson,jarque_bera,p_jarque_bera,max_cooks_distance,indice_outlier,possui_outlier_influente,residuo_p2_5,residuo_p25,residuo_p50,residuo_p75,residuo_p97_5,quantidade_residuos_extremos
A,0.1350911174814129,0.3075347626158422,0.6627169754738167,-0.5022487776189759,1.7694892789692414,0.7779289111422891,0.0019145219586316209,-0.021849417994734166,0.08056416412382218,0.777928911142298,1.7050000777338092,0.07915314403920219,0.961196350426862,0.18188473858940796,35,1,-0.9420833114624558,-0.30747928147615666,-0.04148597943834004,0.38768690751574475,1.134251027921956,3
AAP,-0.0384695450424843,0.16469743510677207,0.8164480774887551,-1.288309401575431,0.28126802575399557,0.000041065776734452053,0.3331186277226268,0.3172404998112608,20.97971685214671,4.10657767344519e-05,1.9427920199015298,1.5457074701318732,0.461693635233855,0.8040137971849407,33,1,-1.8859481607160018,-0.44803719428815686,0.045772229010057036,0.5094661244984642,1.7173486210764066,4
AAPL,-0.3229347789653799,0.5677324071519061,0.5724407503075115,1.3717149624712044,2.9646248097875194,0.6459165522336455,0.004954079166928471,-0.018186523643143104,0.21408600318624232,0.645916552233651,2.6752299612898685,35.24506623317181,0.00000002221422213257103,0.3106493377441369,35,1,-1.3821776324991195,-0.41490243874616173,0.016044464722669655,0.27675804199317744,1.8833797064350495,4
AAT,0.2181819985090212,0.23817483871971032,0.3647455034803633,-1.7593217455189125,0.8444882719188417,0.043204109555606496,0.09167982990748103,0.07055610502160847,4.340135577546561,0.0432041095556064,1.8687387712236696,75.00603182208297,0.000000000000000051599695063674174,0.2677810041405841,24,1,-0.29856015650681966,-0.11825759039686456,0.024428090236274347,0.12164996374961318,0.2732248515517595,4
ABBV,0.5420598223753239,0.26898052142445555,0.05015816382390842,-1.5231383373912328,0.2459106771356602,0.00000019097311018652415,0.4715107678090107,0.45922032054875506,38.36400399632049,1.90973110186526e-07,1.391432066176059,1.312762077792181,0.5187251880241169,0.14767067268834122,35,1,-1.6141066185044273,-0.3523424836104593,-0.012300275487798329,0.39801910070593505,0.9841529204851033,4
ABCB,0.08061572914063281,0.11640623778697055,0.4925036894321406,-0.8672954384561217,0.9431696798082775,0.36318458543887056,0.02020714117088729,-0.003690245629822897,0.8455795330009402,0.363184585438871,2.3763191034246747,1.1687365870194741,0.5574579003816618,0.1395424397717135,33,1,-0.5195212760431129,-0.10556967751863072,-0.0038845068282237615,0.149478968097512,0.4163092570282269,4
ABM,0.03396643058639298,0.3285419791219524,0.9181492210457818,-1.5329082536076188,1.7500050867674055,0.3860423020415822,0.01794081121128621,-0.005441550426540154,0.7672796909557125,0.386042302041583,2.3096122954594143,0.678445703786112,0.7123236887173249,0.796424093485313,43,1,-0.6486866217961172,-0.14004953094125694,0.02396373643464536,0.14379782187559165,0.5231946655595467,4
ABR,0.06428145484609829,0.03784289558490032,0.096612727079536,-1.2325092505663666,0.12953617758867397,0.000000000003820696183392071,0.6779778521538027,0.6704889649945888,90.53118811112783,3.82069618339207e-12,2.2809865651658794,3.8393940919667138,0.1466513840269516,0.43944561604991395,20,1,-0.23360275175778364,-0.04430270598439656,0.005944595139638756,0.06524471720697117,0.17567945804351742,4
ACP,-0.006237057995378922,0.01620640959338639,0.7009669548063376,-0.8648947435097853,0.13908006611751414,0.000000006136747499915542,0.22658671165022704,0.22072752007181962,38.67200937502324,6.13674749991542e-09,1.9288364195238534,220.50566583463979,0.0000000000000000000000000000000000000000000000013116049583898103,32.29078755905104,11,1,-0.10651469154601959,-0.02610782026421143,0.0003056970806377818,0.02894477522089657,0.09910826360895778,8
ACRE,0.0274529579067642,0.07858851063896004,0.7286329422301276,-1.0101936049738423,0.26146895625098737,0.0003900792996356459,0.2668998883943181,0.24901939786735028,14.926877313112431,0.000390079299635646,2.0906581647166496,0.5148966152838901,0.7730215845892405,0.14276472732436882,34,1,-0.13307845504372318,-0.029751633515209666,-0.004700684563826774,0.03509538611623739,0.144573733775147,4
