ticker_name,beta_dividendo,significancia_beta,r2,r2_ajustado,f_stat,p_f_stat,validade_regressao
A,-0.5022487776189759,0.7779289111422891,0.0019145219586316209,-0.021849417994734166,0.08056416412382218,0.777928911142298,1
AAP,-1.288309401575431,0.000041065776734452053,0.3331186277226268,0.3172404998112608,20.97971685214671,4.10657767344519e-05,1
AAPL,1.3717149624712044,0.6459165522336455,0.004954079166928471,-0.018186523643143104,0.21408600318624232,0.645916552233651,1
AAT,-1.7593217455189125,0.043204109555606496,0.09167982990748103,0.07055610502160847,4.340135577546561,0.0432041095556064,1
ABBV,-1.5231383373912328,0.00000019097311018652415,0.4715107678090107,0.45922032054875506,38.36400399632049,1.90973110186526e-07,1
ABCB,-0.8672954384561217,0.36318458543887056,0.02020714117088729,-0.003690245629822897,0.8455795330009402,0.363184585438871,1
ABM,-1.5329082536076188,0.3860423020415822,0.01794081121128621,-0.005441550426540154,0.7672796909557125,0.386042302041583,1
ABR,-1.2325092505663666,0.000000000003820696183392071,0.6779778521538027,0.6704889649945888,90.53118811112783,3.82069618339207e-12,1
ACP,-0.8648947435097853,0.000000006136747499915542,0.22658671165022704,0.22072752007181962,38.67200937502324,6.13674749991542e-09,1
ACRE,-1.0101936049738423,0.0003900792996356459,0.2668998883943181,0.24901939786735028,14.926877313112431,0.000390079299635646,1
ADC,-0.9748710347256365,0.010371629095944666,0.08333463379693062,0.0712732473995219,6.90920853135372,0.0103716290959446,1
ADI,-2.083137632780094,0.07205646665020764,0.07329449534372379,0.05174320453776382,3.4009329651593103,0.0720564666502071,0
ADM,-0.8226256144317066,0.17071174417782609,0.043191734812928706,0.020940379808578213,1.9410833544511823,0.170711744177826,1
ADP,-1.365700994239852,0.10384961488339466,0.06174735726920055,0.03940800863275307,2.7640625639575336,0.103849614883394,1
ADX,-0.9352895119449486,0.000000018946076995222054,0.5242831740987027,0.5132199921009981,47.38990773246631,1.8946076995222e-08,1
AEM,0.008084006636430413,0.9904020183505071,0.000003572825222564191,-0.024386583935137818,0.00014648635749716228,0.990402018350478,1
AEP,-0.31527935753383496,0.5105700181746211,0.010133353494506836,-0.012886801075388421,0.4401948502882246,0.51057001817462,1
AES,-1.2496756841595902,0.05048220027137211,0.086063827909025,0.06480949832551397,4.049237477515766,0.050482200271372,0
AFG,-1.044757611725303,0.00000000000000000000000000000000017242906152192996,0.9019566329700992,0.9004482734773315,597.9719273122946,1.7242906152193e-34,0
AGCO,-1.1500243264927663,0.00000000000001432958519541975,0.7195507853075176,0.7135837807395924,120.58827458845384,1.43295851954199e-14,0
AGM,-0.746028927204901,0.10498692162755346,0.06135621107586975,0.0390075494348191,2.745408743545016,0.104986921627553,1
AGNC,-0.7449099831612425,0.0000000000000002611375497200903,0.41148605739722677,0.4068520893452364,88.79777607022754,2.61137549720082e-16,1
AGO,-0.6937132749685081,0.44143192305843404,0.015271731490984708,-0.009977711291297542,0.6048343966505642,0.441431923058434,1
AHH,0.02249222566306852,0.9568714114193371,0.00007220542905128635,-0.024316277365362016,0.0029606363651230043,0.956871411419343,1
AIG,-0.6116877392178119,0.6282006979014039,0.005634435547672401,-0.018040935034525862,0.23798721663554528,0.628200697901416,1
AIN,-5.741822039799168,0.034089684986715274,0.10253216975567425,0.08116388808319042,4.7983348089100435,0.0340896849867154,1
AIT,2.803868448458044,0.5855672037112927,0.006970831804527289,-0.016122869781413973,0.3018499125653765,0.585567203711296,1
AIZ,-1.8952407993533207,0.05273801877358903,0.08448940563981189,0.0631984615849237,3.968325942804513,0.0527380187735891,1
AJG,-1.999170441582728,0.13334521094938015,0.052838042999376,0.030286567832694566,2.342997192371746,0.133345210949381,1
AKR,-0.6222732235877354,0.0064529506780197235,0.17523069833600335,0.1540827675241061,8.285950048475783,0.0064529506780197,1
AL,-0.7699413932166638,0.39187639407150465,0.01750865988416528,-0.005883991070973593,0.7484683936738251,0.391876394071505,1
ALB,-9.865153793507606,0.16562178720684056,0.04525494120461249,0.022522915995198622,1.9908011181454768,0.165621787206841,1
ALCO,-0.8367274382713967,0.0005737876833818598,0.2484819654298911,0.23058867889250756,13.886882374054103,0.000573787683381861,1
ALE,0.9356191971963008,0.24162371652970696,0.0317430897268588,0.009225487162367152,1.4097011276375817,0.241623716529709,1
ALG,2.5087472434355824,0.33046453251490504,0.02203571495250356,-0.0007076405137174113,0.968885835040113,0.330464532514907,1
ALL,-0.9877050502991187,0.02165649349396217,0.1193006901602357,0.09833165897357476,5.689375398331512,0.0216564934939622,1
ALLE,-1.5074733368287707,0.5186726302881617,0.010488756069115812,-0.01424902502915626,0.42399744857668126,0.518672630288164,1
ALSN,1.9551411824225498,0.1659977237391577,0.044137549614860716,0.02190819030357838,1.9855520348919429,0.165997723739157,1
ALX,-2.4867125974601554,0.014953179187725851,0.1300434038238666,0.10981185507558433,6.427753279882162,0.0149531791877259,1
AMAT,-0.5673414605037657,0.7023681432545631,0.0034296216913332067,-0.019746433618170744,0.14798125244060953,0.702368143254567,1
AME,-0.9148719393687037,0.7640095934682799,0.002169333264857687,-0.02158853975264563,0.09131007911606709,0.764009593468282,1
AMGN,-0.8242283006750533,0.017419671527914966,0.12453413823884263,0.1041744670350947,6.1167067479910076,0.017419671527915,1
AMH,-0.23996868660047,0.7252543267713217,0.0029715868244398758,-0.020767184917835246,0.12517862578154648,0.725254326771333,1
AMP,-1.0938842547827816,0.3235588131538546,0.02266662843785483,-0.0000620546217300344,0.9972697660675145,0.323558813153855,1
