"",ticker,n_eventos,mae_beta,mae_pdr,mse_beta,mse_pdr,rmse_beta,rmse_pdr,melhor_modelo
419,FLC,134,0.089728,0.068662,0.014493,0.009294,0.120387,0.096404,pdr
420,FLG,44,0.195571,0.414260,0.098159,0.233708,0.313303,0.483433,beta_div
421,FLIC,44,0.131987,0.128393,0.037470,0.037257,0.193572,0.193021,pdr
422,FLO,45,0.094333,0.063937,0.014804,0.007282,0.121671,0.085332,pdr
423,FLS,44,0.286179,0.221535,0.130494,0.083003,0.361240,0.288102,pdr
424,FLXS,44,0.150862,0.153670,0.043913,0.043422,0.209553,0.208379,pdr
425,FMC,44,0.312386,0.309602,0.170001,0.171512,0.412312,0.414140,beta_div
426,FMN,134,0.040420,0.037215,0.002732,0.002559,0.052264,0.050589,pdr
427,FNB,45,0.056563,0.056563,0.004869,0.004869,0.069781,0.069781,pdr
428,FNF,44,0.256000,0.269025,0.303692,0.300927,0.551082,0.548568,pdr
429,FNLC,45,0.137331,0.128431,0.036292,0.033896,0.190506,0.184108,pdr
430,FNV,45,0.732174,0.575180,0.879142,0.669633,0.937626,0.818311,pdr
431,FOF,112,0.049606,0.049985,0.004897,0.004848,0.069980,0.069624,pdr
432,FPF,134,0.057450,0.052057,0.006199,0.004963,0.078732,0.070447,pdr
433,FR,44,0.153965,0.142799,0.043365,0.041315,0.208244,0.203261,pdr
434,FRME,44,0.192251,0.180935,0.076371,0.076045,0.276354,0.275762,pdr
435,FRT,44,0.997374,0.503173,1.349057,0.714458,1.161489,0.845256,pdr
436,FSS,43,0.164027,0.159043,0.044224,0.043173,0.210294,0.207782,pdr
437,FT,135,0.033070,0.024951,0.001811,0.001378,0.042560,0.037116,pdr
438,FTF,135,0.034083,0.033693,0.002364,0.002197,0.048625,0.046871,pdr
439,FUL,45,0.346818,0.284650,0.179427,0.151625,0.423588,0.389391,pdr
440,FULT,53,0.099321,0.094035,0.015153,0.014147,0.123099,0.118939,pdr
441,FUND,44,0.051585,0.045080,0.004675,0.003427,0.068372,0.058545,pdr
442,FWRD,40,0.328525,0.306932,0.198630,0.179705,0.445679,0.423916,pdr
443,GAB,44,0.108492,0.046369,0.013591,0.006304,0.116579,0.079398,pdr
444,GABC,45,0.170358,0.172354,0.122172,0.121785,0.349531,0.348977,pdr
445,GAIN,154,0.051305,0.050462,0.004766,0.004940,0.069034,0.070286,beta_div
446,GAP,41,0.220634,0.173426,0.084795,0.061403,0.291196,0.247797,pdr
447,GATX,45,0.955197,0.557933,1.268293,0.712147,1.126185,0.843888,pdr
448,GBAB,134,0.308507,0.073373,0.109163,0.014137,0.330398,0.118900,pdr
449,GBCI,52,0.376261,0.302738,0.255319,0.164677,0.505291,0.405804,pdr
450,GBDC,52,0.063077,0.062606,0.006704,0.006662,0.081875,0.081623,pdr
451,GBX,43,0.460888,0.395093,0.519139,0.488744,0.720513,0.699102,pdr
452,GCV,45,0.068426,0.064553,0.019238,0.017763,0.138702,0.133279,pdr
453,GD,45,0.696519,0.630053,0.707063,0.597221,0.840870,0.772801,pdr
454,GDO,134,0.047849,0.046459,0.003892,0.003701,0.062382,0.060837,pdr
455,GE,44,0.529989,0.611438,0.640786,0.785154,0.800491,0.886089,beta_div
456,GEF,44,0.264955,0.279183,0.161049,0.141932,0.401309,0.376738,pdr
457,GEL,45,0.140944,0.144846,0.038561,0.038551,0.196370,0.196343,pdr
458,GES,42,0.145366,0.170271,0.046915,0.059328,0.216599,0.243574,beta_div
459,GFF,48,0.205163,0.205773,0.096379,0.096519,0.310449,0.310676,beta_div
460,GGG,45,0.253158,0.251656,0.141286,0.141104,0.375880,0.375639,pdr
461,GGT,44,0.066511,0.055465,0.007197,0.006237,0.084832,0.078973,pdr
462,GHC,45,3.406302,3.341206,24.185935,22.724727,4.917920,4.767046,pdr
463,GHY,133,0.047795,0.045977,0.011923,0.011106,0.109193,0.105386,pdr
464,GIS,45,0.160117,0.154018,0.042591,0.042035,0.206377,0.205024,pdr
465,GL,44,0.481772,0.464693,0.401582,0.379902,0.633705,0.616362,pdr
466,GLAD,136,0.276607,0.095265,0.092531,0.029658,0.304189,0.172216,pdr
467,GLP,45,0.495357,0.498732,0.781474,0.781099,0.884010,0.883798,pdr
468,GLPI,46,0.180660,0.197877,0.076090,0.087950,0.275843,0.296564,beta_div
469,GLQ,135,0.064010,0.064151,0.007418,0.007205,0.086125,0.084883,pdr
470,GLV,135,0.068458,0.052779,0.008083,0.004906,0.089908,0.070045,pdr
471,GNT,134,0.044553,0.044858,0.010775,0.010771,0.103802,0.103781,pdr
472,GNTX,45,0.180473,0.148753,0.055043,0.037612,0.234612,0.193938,pdr
473,GOF,134,0.077906,0.077906,0.021852,0.021852,0.147824,0.147824,pdr
474,GOLD,43,0.170869,0.182424,0.053015,0.053872,0.230250,0.232104,beta_div
475,GOOD,134,0.281069,0.074739,0.087577,0.014448,0.295934,0.120199,pdr
476,GORO,95,0.051873,0.051385,0.006242,0.006250,0.079006,0.079055,beta_div
477,GPC,44,0.611815,0.498419,0.711357,0.507831,0.843420,0.712623,pdr
478,GPI,43,1.160770,1.108759,3.235346,2.954757,1.798707,1.718941,pdr
479,GPK,41,0.242193,0.104634,0.080802,0.028761,0.284257,0.169590,pdr
480,GPN,44,1.027071,1.164318,4.505980,6.070764,2.122729,2.463892,beta_div
481,GRC,45,0.233503,0.243694,0.091719,0.097690,0.302851,0.312553,beta_div
482,GRMN,44,1.573647,0.684728,3.800361,2.326697,1.949452,1.525351,pdr
483,GROW,136,0.057703,0.052516,0.011482,0.010868,0.107156,0.104252,pdr
484,GRX,45,0.070513,0.056309,0.010484,0.009503,0.102392,0.097484,pdr
485,GSBC,46,0.253233,0.244063,0.126449,0.126082,0.355597,0.355081,pdr
486,GSK,45,0.292688,0.276130,0.161112,0.144246,0.401387,0.379797,pdr
487,GUT,134,0.068073,0.036498,0.009260,0.006127,0.096227,0.078275,pdr
488,GVA,44,0.181240,0.181240,0.056814,0.056814,0.238357,0.238357,pdr
489,GWW,45,3.145716,2.160585,17.242489,13.426097,4.152408,3.664164,pdr
490,HAFC,45,0.182342,0.157756,0.061551,0.054574,0.248094,0.233611,pdr
491,HAL,45,0.310407,0.286269,0.147465,0.132090,0.384012,0.363441,pdr
492,HAS,45,0.902482,0.385523,1.045146,0.384175,1.022324,0.619819,pdr
493,HASI,44,0.213050,0.165346,0.085819,0.064796,0.292949,0.254551,pdr
494,HBAN,44,0.087300,0.086366,0.017250,0.016296,0.131339,0.127655,pdr
495,HBNC,44,0.107666,0.106524,0.028623,0.028277,0.169182,0.168157,pdr
496,HCI,45,0.365586,0.361132,0.284712,0.280567,0.533584,0.529686,pdr
497,HD,44,1.252734,1.045582,3.496460,2.875866,1.869882,1.695838,pdr
498,HEES,43,5.509841,0.638563,30.513083,3.181763,5.523865,1.783750,pdr
499,HEQ,44,0.096884,0.071213,0.014293,0.009098,0.119554,0.095381,pdr
500,HES,44,0.902118,0.818268,1.516661,1.266849,1.231528,1.125544,pdr
501,HFWA,46,0.202241,0.140383,0.072840,0.057811,0.269889,0.240439,pdr
502,HI,44,0.349549,0.311408,0.268521,0.225858,0.518190,0.475245,pdr
503,HIG,45,0.276053,0.276055,0.168100,0.168344,0.410000,0.410298,beta_div
504,HII,45,0.972882,0.865649,2.137364,1.886100,1.461973,1.373354,pdr
505,HIO,134,0.028431,0.011464,0.000972,0.000237,0.031180,0.015393,pdr
506,HIW,46,0.301017,0.181851,0.157491,0.077479,0.396851,0.278350,pdr
507,HIX,134,0.025155,0.015692,0.000989,0.000476,0.031447,0.021826,pdr
508,HLIO,49,0.288063,0.289550,0.165650,0.166033,0.407001,0.407471,beta_div
509,HMN,44,0.823686,0.291286,0.875987,0.460954,0.935942,0.678936,pdr
510,HNI,45,0.234400,0.203673,0.078575,0.060661,0.280313,0.246294,pdr
511,HNW,138,0.059754,0.047980,0.005812,0.004189,0.076234,0.064720,pdr
512,HOFT,44,0.208519,0.211605,0.099207,0.098735,0.314971,0.314221,pdr
513,HOG,45,0.259567,0.282862,0.097995,0.114063,0.313042,0.337733,beta_div
514,HOMB,45,0.227400,0.222641,0.139277,0.131577,0.373198,0.362735,pdr
515,HON,45,0.653872,0.645952,0.977953,0.978080,0.988915,0.988979,beta_div
516,HOPE,45,0.070022,0.070597,0.008591,0.008543,0.092687,0.092429,pdr
517,HP,45,0.437299,0.438007,0.380806,0.357745,0.617095,0.598118,pdr
518,HPI,133,0.085040,0.062218,0.012359,0.008286,0.111170,0.091028,pdr
519,HPP,40,0.129789,0.117256,0.030813,0.027722,0.175537,0.166500,pdr
520,HPQ,44,0.246757,0.204849,0.104293,0.086945,0.322944,0.294864,pdr
521,HPS,133,0.069533,0.058701,0.009740,0.007815,0.098689,0.088404,pdr
522,HQH,47,0.129769,0.102638,0.032089,0.024348,0.179134,0.156039,pdr
523,HR,46,0.183584,0.149260,0.099358,0.074946,0.315211,0.273762,pdr
524,HRB,45,0.168217,0.168323,0.107902,0.107863,0.328484,0.328426,pdr
525,HRL,45,0.096429,0.099543,0.018417,0.018281,0.135709,0.135207,pdr
526,HRZN,134,0.119177,0.069718,0.020732,0.009619,0.143985,0.098078,pdr
527,HSII,44,0.414547,0.144940,0.199770,0.038083,0.446956,0.195148,pdr
528,HSY,45,0.510324,0.461124,0.520916,0.393459,0.721745,0.627263,pdr
529,HTBK,45,0.052308,0.052441,0.004658,0.004632,0.068252,0.068059,pdr
530,HTD,133,0.087657,0.088144,0.014926,0.014887,0.122170,0.122012,pdr
531,HTGC,45,0.125468,0.083125,0.025690,0.015070,0.160281,0.122761,pdr
532,HTLD,44,0.082194,0.091225,0.016787,0.020244,0.129566,0.142283,beta_div
533,HUM,44,1.302769,0.956084,3.050002,2.677502,1.746425,1.636308,pdr
534,HUN,44,0.233600,0.222556,0.120222,0.117477,0.346731,0.342749,pdr
535,HURC,41,0.201089,0.198708,0.094869,0.094334,0.308009,0.307138,pdr
536,HWC,45,0.285811,0.265376,0.135879,0.130597,0.368617,0.361382,pdr
537,HYI,134,0.099652,0.032850,0.011685,0.001920,0.108097,0.043816,pdr
538,HYT,133,0.039813,0.033803,0.003245,0.002546,0.056965,0.050456,pdr
539,IAE,52,0.037524,0.036722,0.002758,0.002774,0.052521,0.052668,beta_div
540,IAF,45,0.052784,0.041043,0.003986,0.002550,0.063131,0.050495,pdr
541,IBCP,44,0.219403,0.163857,0.084585,0.071850,0.290836,0.268049,pdr
542,IBM,45,0.934179,0.667974,1.707409,1.072199,1.306679,1.035470,pdr
543,ICE,44,0.454994,0.494722,1.560837,1.544673,1.249334,1.242849,pdr
544,IDA,45,0.651445,0.386205,0.606306,0.293074,0.778656,0.541363,pdr
545,IDCC,45,0.373685,0.375788,0.328244,0.322539,0.572926,0.567925,pdr
546,IEP,44,0.502375,0.494593,0.586586,0.580100,0.765889,0.761643,pdr
547,IEX,45,0.747881,0.725296,1.150947,1.127054,1.072822,1.061628,pdr
548,IFF,44,0.678946,0.552698,0.703493,0.459633,0.838745,0.677963,pdr
549,IGA,52,0.046916,0.045231,0.003865,0.003712,0.062167,0.060924,pdr
550,IGD,134,0.023768,0.023481,0.001046,0.001025,0.032344,0.032017,pdr
551,IGI,134,0.074325,0.074350,0.012059,0.012053,0.109813,0.109784,pdr
552,IGR,134,0.030108,0.025692,0.001498,0.001270,0.038706,0.035636,pdr
553,IHD,52,0.050485,0.048235,0.005115,0.004993,0.071519,0.070660,pdr
554,IIIN,44,0.286149,0.562016,0.188951,0.939825,0.434684,0.969446,beta_div
555,IIM,134,0.034947,0.034941,0.002109,0.002103,0.045925,0.045855,pdr
556,IMKTA,45,0.229798,0.229798,0.083284,0.083284,0.288589,0.288589,pdr
557,IMO,41,0.240143,0.224836,0.086374,0.069603,0.293894,0.263824,pdr
558,INBK,44,0.230155,0.230155,0.133918,0.133918,0.365948,0.365948,pdr
559,INDB,45,0.501925,0.373198,0.491616,0.432322,0.701154,0.657512,pdr
560,INGR,44,0.308925,0.308399,0.168671,0.167208,0.410696,0.408911,pdr
561,INTC,43,0.265875,0.261706,0.124984,0.124754,0.353531,0.353206,pdr
562,INTU,45,2.666632,1.952017,12.067622,9.954075,3.473848,3.155008,pdr
563,IP,45,0.358255,0.255948,0.182343,0.109986,0.427016,0.331641,pdr
564,IPAR,41,0.491282,0.448928,0.492898,0.491537,0.702067,0.701097,pdr
565,IPG,45,0.189050,0.139432,0.055293,0.043800,0.235145,0.209285,pdr
566,IQI,134,0.028843,0.026727,0.001774,0.001640,0.042117,0.040493,pdr
567,IRM,46,0.412876,0.235527,0.232083,0.139220,0.481750,0.373122,pdr
568,IRT,78,0.080911,0.078682,0.029183,0.029220,0.170829,0.170940,beta_div
569,ISD,133,0.057289,0.043574,0.009249,0.006724,0.096173,0.082000,pdr
570,ITT,45,0.660966,0.581916,0.904544,0.810771,0.951075,0.900428,pdr
571,ITUB,173,0.067907,0.090994,0.007627,0.020934,0.087331,0.144684,beta_div
572,ITW,44,0.681076,0.581582,0.810538,0.697732,0.900299,0.835304,pdr
573,IVR,44,0.315609,0.341441,0.277740,0.282535,0.527010,0.531541,beta_div
574,IVZ,45,0.186501,0.150004,0.051991,0.036137,0.228016,0.190098,pdr
575,JACK,42,2.385076,0.768004,8.531418,3.105080,2.920859,1.762124,pdr
576,JBHT,45,0.705735,0.568158,0.843782,0.670634,0.918576,0.818923,pdr
577,JBL,45,0.379259,0.379259,0.347354,0.347354,0.589368,0.589368,pdr
578,JBTM,44,0.795925,0.682898,1.178753,1.019290,1.085704,1.009599,pdr
579,JCE,49,0.108708,0.108135,0.035082,0.034756,0.187303,0.186430,pdr
580,JCI,46,0.255041,0.255107,0.154874,0.154871,0.393540,0.393536,pdr
581,JEF,45,0.162460,0.147692,0.055548,0.054786,0.235687,0.234065,pdr
582,JFR,134,0.026485,0.027350,0.002468,0.002381,0.049678,0.048800,pdr
583,JHI,44,0.132400,0.086007,0.025352,0.016315,0.159222,0.127731,pdr
584,JJSF,44,0.804306,0.793660,2.416263,2.379964,1.554433,1.542713,pdr
585,JKHY,45,0.470998,0.427572,0.512921,0.484266,0.716185,0.695892,pdr
586,JLS,138,0.065101,0.062600,0.007902,0.008155,0.088896,0.090306,beta_div
587,JNJ,45,0.625402,0.476099,0.620672,0.471464,0.787828,0.686633,pdr
588,JNPR,43,0.396033,0.223085,0.318248,0.183391,0.564135,0.428241,pdr
589,JOUT,45,0.362050,0.365197,0.292424,0.290104,0.540763,0.538613,pdr
590,JPI,136,0.103922,0.101901,0.105111,0.100661,0.324209,0.317271,pdr
591,JPM,45,1.011743,0.851046,1.905997,1.666312,1.380579,1.290857,pdr
592,JQC,134,0.020775,0.020669,0.001337,0.001331,0.036571,0.036486,pdr
593,JRS,44,0.075566,0.065923,0.018690,0.017889,0.136712,0.133750,pdr
594,K,45,0.159471,0.159084,0.048464,0.048459,0.220146,0.220134,pdr
595,KAI,45,3.031713,1.313359,15.928029,11.103745,3.990994,3.332228,pdr
596,KALU,46,1.794533,1.237575,7.174945,6.606700,2.678609,2.570350,pdr
597,KBH,45,0.206109,0.207265,0.119835,0.120055,0.346172,0.346490,beta_div
598,KBR,44,0.271144,0.248830,0.151431,0.145467,0.389142,0.381401,pdr
599,KDP,44,0.156085,0.360420,0.039388,2.009283,0.198465,1.417492,beta_div
600,KELYA,40,0.159262,0.147262,0.055578,0.050540,0.235750,0.224812,pdr
601,KEY,45,0.127726,0.121354,0.038831,0.038209,0.197056,0.195470,pdr
602,KFRC,44,0.230439,0.229239,0.112899,0.110068,0.336005,0.331765,pdr
603,KFY,40,0.309310,0.308909,0.225239,0.224590,0.474593,0.473909,pdr
604,KIM,43,0.151885,0.106724,0.039470,0.029046,0.198671,0.170429,pdr
605,KIO,134,0.065448,0.058007,0.008547,0.007537,0.092448,0.086814,pdr
606,KKR,45,0.321826,0.319024,0.314426,0.295881,0.560737,0.543949,pdr
607,KLAC,46,2.471685,2.634905,19.551418,21.572267,4.421698,4.644596,beta_div
608,KMB,44,0.461996,0.438954,0.474872,0.377560,0.689110,0.614459,pdr
609,KMI,45,0.125259,0.112837,0.044165,0.039478,0.210154,0.198690,pdr
610,KMPR,45,0.232517,0.228108,0.107839,0.106965,0.328389,0.327055,pdr
611,KMT,45,1.523084,0.319793,2.600658,0.283638,1.612656,0.532577,pdr
612,KNOP,45,0.156279,0.258821,0.049235,0.106655,0.221889,0.326581,beta_div
613,KNX,44,0.270170,0.269846,0.140121,0.116789,0.374328,0.341744,pdr
614,KO,44,0.510364,0.233772,0.363745,0.220323,0.603112,0.469386,pdr
615,KRC,44,0.257160,0.227439,0.103940,0.081778,0.322397,0.285969,pdr
616,KRG,46,0.202272,0.118840,0.056598,0.027604,0.237903,0.166143,pdr
617,KRNY,41,0.064761,0.063013,0.011454,0.011446,0.107025,0.106988,pdr
618,KTF,136,0.026549,0.026159,0.001953,0.001794,0.044196,0.042356,pdr
619,KW,44,0.111677,0.073832,0.017560,0.009387,0.132516,0.096887,pdr
620,KWR,45,1.175335,0.991345,3.042894,2.548058,1.744389,1.596264,pdr
621,KYN,60,0.127575,0.107621,0.025871,0.026685,0.160845,0.163355,beta_div
622,L,45,0.222973,0.222973,0.115563,0.115563,0.339945,0.339945,pdr
623,LAD,44,1.249837,1.247990,3.263941,3.122598,1.806638,1.767087,pdr
624,LAMR,43,0.696752,0.493605,0.863221,0.590933,0.929097,0.768722,pdr
625,LANC,44,0.499217,0.524221,0.489868,0.509615,0.699905,0.713874,beta_div
626,LAND,134,0.072718,0.071988,0.013583,0.012699,0.116548,0.112688,pdr
627,LAZ,43,0.310447,0.305755,0.191211,0.188929,0.437276,0.434659,pdr
628,LCUT,45,0.425680,0.094983,0.196251,0.015405,0.443002,0.124118,pdr
629,LDOS,46,0.452112,0.608391,0.757067,1.843608,0.870096,1.357795,beta_div
630,LECO,44,0.417766,0.323108,0.316421,0.213962,0.562513,0.462560,pdr
631,LEG,44,0.268449,0.263832,0.217680,0.214026,0.466562,0.462629,pdr
632,LEN,45,0.543872,0.540710,0.675091,0.675347,0.821639,0.821795,beta_div
633,LEO,135,0.023187,0.022454,0.001384,0.001372,0.037196,0.037047,pdr
634,LFT,81,0.041833,0.041975,0.003969,0.003968,0.062999,0.062991,pdr
635,LFUS,45,1.018237,1.031224,2.050319,2.020443,1.431894,1.421423,pdr
636,LGI,134,0.066644,0.067045,0.008520,0.008819,0.092304,0.093907,beta_div
637,LGTY,45,0.106143,0.067853,0.017034,0.007859,0.130513,0.088650,pdr
638,LHX,44,0.914657,0.860844,4.197005,4.198652,2.048659,2.049061,beta_div
639,LII,44,0.957182,0.863724,1.817856,1.667934,1.348279,1.291485,pdr
640,LIN,44,1.601865,1.605414,7.319116,6.863583,2.705386,2.619844,pdr
641,LKFN,45,0.254170,0.254529,0.150659,0.150527,0.388148,0.387978,pdr
642,LLY,45,1.547001,1.362326,6.415261,6.197294,2.532836,2.489437,pdr
643,LMAT,44,0.188788,0.150656,0.074977,0.069874,0.273819,0.264338,pdr
644,LMNR,44,0.143068,0.111460,0.034592,0.022291,0.185990,0.149302,pdr
645,LMT,45,1.388154,1.323672,6.739612,6.575477,2.596076,2.564269,pdr
646,LNC,45,0.442627,0.442750,0.400908,0.400941,0.633173,0.633199,beta_div
647,LNN,45,1.237661,0.580047,2.009358,0.592949,1.417518,0.770032,pdr
648,LNT,45,0.261634,0.160362,0.094545,0.041677,0.307481,0.204148,pdr
649,LOAN,45,0.122572,0.076546,0.020257,0.010430,0.142329,0.102126,pdr
650,LOW,45,0.765381,0.761732,1.230272,1.211959,1.109176,1.100890,pdr
651,LPLA,44,2.026614,0.792040,5.082550,1.955484,2.254451,1.398386,pdr
652,LRCX,44,0.432362,0.577500,0.491500,0.759182,0.701071,0.871311,beta_div
653,LSTR,53,0.700329,0.622870,1.559687,1.655490,1.248874,1.286658,beta_div
654,LTC,134,0.188624,0.144392,0.061183,0.045212,0.247352,0.212631,pdr
655,LXFR,46,0.247624,0.103747,0.080047,0.026073,0.282925,0.161471,pdr
656,LXP,44,0.056888,0.047276,0.005706,0.004422,0.075537,0.066500,pdr
657,LYB,43,0.659961,0.642433,0.927447,0.915302,0.963041,0.956714,pdr
658,LYTS,45,0.098050,0.069832,0.021131,0.016631,0.145365,0.128961,pdr
659,LZB,44,0.231217,0.171074,0.086602,0.063115,0.294282,0.251226,pdr
660,MA,45,1.411637,1.408820,4.073485,4.073340,2.018288,2.018252,pdr
661,MAA,45,0.745807,0.564299,1.030245,0.775935,1.015010,0.880872,pdr
662,MAC,45,0.182295,0.213382,0.055294,0.071582,0.235147,0.267547,beta_div
663,MAIN,158,0.183095,0.137631,0.061445,0.042530,0.247881,0.206229,pdr
664,MAS,45,0.248596,0.210639,0.123421,0.118470,0.351314,0.344194,pdr
665,MATW,45,0.565561,0.498620,0.847512,0.786965,0.920604,0.887111,pdr
666,MATX,45,0.639590,0.672144,1.675875,1.664131,1.294556,1.290012,pdr
667,MAV,134,0.031172,0.031141,0.001828,0.001803,0.042759,0.042458,pdr
668,MBWM,45,0.210837,0.214095,0.091897,0.093231,0.303145,0.305338,beta_div
669,MCD,45,0.731349,0.728535,1.155744,1.154895,1.075056,1.074660,pdr
670,MCHP,45,0.365528,0.366612,0.281295,0.279746,0.530373,0.528910,pdr
671,MCI,44,0.179792,0.107538,0.044085,0.017872,0.209965,0.133686,pdr
672,MCK,45,1.746930,1.018774,3.782181,2.353668,1.944783,1.534167,pdr
673,MCN,44,0.070826,0.070826,0.025830,0.025830,0.160717,0.160717,pdr
674,MCO,45,1.270388,1.216815,4.964850,4.452198,2.228194,2.110023,pdr
675,MCR,134,0.037386,0.023586,0.001880,0.001341,0.043354,0.036623,pdr
676,MCY,44,0.548710,0.274065,0.610881,0.480876,0.781589,0.693452,pdr
677,MDLZ,44,0.195190,0.185950,0.082433,0.075992,0.287111,0.275666,pdr
678,MDT,43,0.420852,0.402138,0.378622,0.372248,0.615323,0.610121,pdr
679,MDU,43,0.050053,0.040629,0.004352,0.003451,0.065967,0.058741,pdr
680,MEI,45,0.242203,0.205654,0.078811,0.068621,0.280734,0.261956,pdr
681,MEOH,43,0.526474,0.534449,0.514274,0.520170,0.717129,0.721228,beta_div
682,MET,45,0.629857,0.448453,0.692540,0.363979,0.832190,0.603307,pdr
683,MFA,43,0.119271,0.104474,0.021612,0.018470,0.147011,0.135904,pdr
684,MFIC,45,0.306036,0.100852,0.108101,0.020000,0.328787,0.141420,pdr
685,MFM,134,0.017903,0.017275,0.000546,0.000523,0.023360,0.022863,pdr
686,MGA,44,0.922061,0.472986,1.096390,0.507679,1.047086,0.712516,pdr
687,MGEE,45,0.791105,0.252257,0.707789,0.133348,0.841302,0.365169,pdr
688,MGRC,45,0.388689,0.343447,0.308128,0.272122,0.555092,0.521654,pdr
689,MHD,134,0.068436,0.052212,0.008740,0.005758,0.093487,0.075880,pdr
690,MHI,134,0.029013,0.028476,0.001330,0.001270,0.036466,0.035639,pdr
691,MHN,134,0.044798,0.039642,0.004715,0.003867,0.068665,0.062184,pdr
692,MIN,134,0.010343,0.008480,0.000182,0.000130,0.013478,0.011421,pdr
693,MITT,43,0.140924,0.155248,0.042731,0.058552,0.206715,0.241976,beta_div
694,MIY,134,0.036450,0.036246,0.002716,0.002701,0.052116,0.051972,pdr
695,MKSI,45,1.231112,0.790360,3.103233,2.060166,1.761600,1.435328,pdr
696,MKTX,45,1.780027,1.959703,19.572352,19.364521,4.424065,4.400514,pdr
697,MLAB,45,2.651056,1.214622,9.512781,3.038388,3.084280,1.743097,pdr
698,MLI,45,0.166342,0.170881,0.048673,0.215842,0.220619,0.464588,beta_div
699,MLKN,43,0.496964,0.231750,0.340149,0.188517,0.583223,0.434185,pdr
700,MLM,45,1.576414,1.552378,4.320202,4.310780,2.078509,2.076242,pdr
701,MLR,44,0.499650,0.173936,0.303483,0.062711,0.550893,0.250422,pdr
702,MMC,45,0.889338,0.526931,1.306707,1.028427,1.143113,1.014114,pdr
703,MMD,134,0.064789,0.063542,0.008027,0.007328,0.089593,0.085601,pdr
704,MMLP,45,0.123947,0.277368,0.050994,0.175179,0.225818,0.418544,beta_div
705,MMM,45,0.532637,0.501196,0.558947,0.532348,0.747627,0.729622,pdr
706,MMS,45,0.455134,0.444230,0.430141,0.430549,0.655851,0.656162,beta_div
707,MMT,134,0.020840,0.014741,0.000708,0.000422,0.026608,0.020553,pdr
708,MMU,134,0.035224,0.035066,0.003506,0.003495,0.059209,0.059120,pdr
709,MNRO,45,0.343702,0.344626,0.403920,0.403118,0.635547,0.634915,pdr
710,MO,44,0.217445,0.205469,0.132703,0.110622,0.364284,0.332598,pdr
711,MOFG,45,0.191182,0.176372,0.073929,0.069016,0.271898,0.262708,pdr
712,MORN,45,0.853757,0.851280,1.769963,1.752252,1.330400,1.323727,pdr
713,MOV,41,0.155557,0.154459,0.046792,0.047767,0.216314,0.218556,beta_div
714,MPA,134,0.055479,0.043682,0.005708,0.003655,0.075554,0.060460,pdr
715,MPC,45,0.600194,0.556151,0.736261,0.712590,0.858057,0.844150,pdr
716,MPLX,45,0.290521,0.295589,0.283558,0.283392,0.532502,0.532346,pdr
717,MPW,44,0.071874,0.069861,0.013899,0.013194,0.117895,0.114866,pdr
718,MPWR,43,2.001775,1.893724,9.761196,9.720804,3.124291,3.117820,pdr
719,MPX,45,0.111709,0.118156,0.034539,0.034363,0.185846,0.185372,pdr
720,MQT,134,0.049077,0.039455,0.004308,0.002933,0.065632,0.054161,pdr
721,MQY,134,0.070972,0.057974,0.013762,0.010352,0.117312,0.101745,pdr
722,MRCC,44,0.173160,0.085148,0.037274,0.013078,0.193066,0.114358,pdr
723,MRK,44,0.399565,0.307688,0.280933,0.225248,0.530031,0.474603,pdr
724,MRTN,44,0.103994,0.165263,0.038374,0.085134,0.195892,0.291778,beta_div
725,MRVL,44,0.421457,0.421457,0.394118,0.394118,0.627789,0.627789,pdr
726,MS,45,0.384892,0.416741,0.304546,0.326556,0.551857,0.571451,beta_div
727,MSA,45,1.315754,0.564459,2.113312,0.542484,1.453723,0.736535,pdr
728,MSCI,42,1.899092,1.840601,8.650227,8.751734,2.941127,2.958333,beta_div
729,MSD,44,0.026085,0.026483,0.001366,0.001363,0.036953,0.036914,pdr
730,MSEX,46,0.803505,0.251107,0.722412,0.103043,0.849948,0.321003,pdr
731,MSFT,45,1.407285,1.074537,3.617913,2.441719,1.902081,1.562600,pdr
732,MSI,44,1.113588,1.184230,4.940291,4.670634,2.222677,2.161165,pdr
733,MSM,47,0.498381,0.577561,0.732459,0.888456,0.855838,0.942579,beta_div
734,MTB,45,0.879252,0.875985,1.419920,1.419327,1.191604,1.191355,pdr
735,MTRN,45,0.434739,0.424786,0.346206,0.344197,0.588393,0.586683,pdr
736,MTX,45,0.503128,0.487270,0.544308,0.542702,0.737772,0.736683,pdr
737,MUA,134,0.045420,0.044206,0.003862,0.003709,0.062147,0.060900,pdr
738,MUC,134,0.032527,0.031907,0.002230,0.002180,0.047224,0.046690,pdr
739,MUE,134,0.036769,0.035754,0.004108,0.003940,0.064093,0.062769,pdr
740,MUJ,133,0.036419,0.035880,0.002522,0.002419,0.050217,0.049188,pdr
741,MUR,45,0.445497,0.331471,0.325069,0.210177,0.570148,0.458451,pdr
742,MVF,134,0.023420,0.023214,0.000978,0.000968,0.031265,0.031116,pdr
743,MVO,45,0.150392,0.141107,0.039401,0.039321,0.198497,0.198295,pdr
744,MVT,133,0.055606,0.049340,0.005578,0.004487,0.074683,0.066988,pdr
745,MWA,45,0.192251,0.142309,0.115455,0.108939,0.339787,0.330060,pdr
746,MXF,40,0.088678,0.089388,0.013640,0.013641,0.116791,0.116794,beta_div
747,MYD,134,0.058069,0.040965,0.005859,0.003513,0.076547,0.059267,pdr
