"",ticker,n_eventos,mae_beta,mae_pdr,mse_beta,mse_pdr,rmse_beta,rmse_pdr,melhor_modelo
178,CASS,45,0.282069,0.273947,0.145708,0.133123,0.381717,0.364860,pdr
179,CASY,45,1.567248,0.643709,3.339660,1.774501,1.827474,1.332104,pdr
180,CAT,45,1.255457,1.073520,3.247953,2.564285,1.802208,1.601339,pdr
181,CATY,45,0.303741,0.263750,0.140981,0.129595,0.375475,0.359993,pdr
182,CBOE,40,0.653048,0.421061,0.657888,0.329465,0.811103,0.573990,pdr
183,CBRL,42,0.418580,0.407683,0.307872,0.316387,0.554862,0.562483,beta_div
184,CBSH,43,0.452170,0.463197,0.481352,0.480289,0.693795,0.693029,pdr
185,CBT,45,0.359223,0.352418,0.273029,0.269492,0.522522,0.519126,pdr
186,CBU,46,1.356447,0.494578,2.025849,0.730213,1.423323,0.854525,pdr
187,CCBG,44,0.245613,0.255854,0.236004,0.238900,0.485802,0.488774,beta_div
188,CCEC,43,0.201493,0.197280,0.101842,0.102950,0.319127,0.320858,beta_div
189,CCNE,45,0.384830,0.150825,0.179711,0.039031,0.423924,0.197562,pdr
190,CCOI,44,0.357165,0.393921,0.834801,0.823259,0.913674,0.907336,pdr
191,CDP,44,1.222636,0.101639,1.509012,0.014910,1.228419,0.122107,pdr
192,CDW,45,0.758790,0.842858,1.449188,1.530848,1.203822,1.237274,beta_div
193,CE,45,0.874921,0.742010,1.667423,1.576407,1.291287,1.255551,pdr
194,CEV,134,0.046586,0.046418,0.005077,0.004924,0.071255,0.070172,pdr
195,CF,45,0.912247,0.469009,1.106353,0.488231,1.051833,0.698735,pdr
196,CFFN,62,0.047998,0.048032,0.004431,0.004427,0.066569,0.066538,pdr
197,CFR,45,0.864583,0.545637,1.090234,0.552230,1.044143,0.743122,pdr
198,CG,45,0.239202,0.245670,0.123153,0.123924,0.350932,0.352028,beta_div
199,CGNX,41,0.290953,0.345437,0.188562,0.293484,0.434237,0.541741,beta_div
200,CGO,133,0.083386,0.073698,0.016911,0.015223,0.130044,0.123382,pdr
201,CHCO,45,0.863129,0.419469,0.981040,0.531441,0.990475,0.729000,pdr
202,CHH,40,0.854765,0.424348,1.140171,0.448800,1.067788,0.669925,pdr
203,CHI,133,0.113015,0.050257,0.020487,0.008029,0.143132,0.089607,pdr
204,CHRW,45,0.603477,0.491156,0.627949,0.452908,0.792433,0.672984,pdr
205,CHSCO,43,0.138442,0.138442,0.045506,0.045506,0.213322,0.213322,pdr
206,CHW,133,0.052964,0.045249,0.007100,0.005861,0.084264,0.076554,pdr
207,CHY,133,0.208013,0.067866,0.056327,0.014149,0.237334,0.118948,pdr
208,CIB,43,0.188148,0.199215,0.057564,0.058359,0.239925,0.241576,beta_div
209,CIF,134,0.013609,0.013069,0.000353,0.000337,0.018790,0.018357,pdr
210,CII,128,0.087614,0.080351,0.014402,0.013935,0.120008,0.118046,pdr
211,CIK,133,0.054531,0.013743,0.003216,0.000562,0.056707,0.023715,pdr
212,CIM,46,0.187528,0.176942,0.057736,0.056514,0.240283,0.237727,pdr
213,CINF,46,1.095501,0.532146,1.705787,0.781766,1.306058,0.884175,pdr
214,CL,45,0.570468,0.245036,0.404213,0.103698,0.635777,0.322022,pdr
215,CLB,45,0.694503,0.850258,1.040880,1.416622,1.020235,1.190219,beta_div
216,CLDT,84,0.076478,0.076014,0.012193,0.012165,0.110422,0.110296,pdr
217,CLM,134,0.094861,0.087784,0.023290,0.022374,0.152609,0.149581,pdr
218,CLX,45,0.515625,0.497014,0.664393,0.650515,0.815103,0.806545,pdr
219,CM,42,0.497098,0.228856,0.352761,0.126752,0.593936,0.356022,pdr
220,CMC,45,0.231489,0.226280,0.126633,0.118710,0.355856,0.344543,pdr
221,CMCO,44,0.198681,0.200757,0.074406,0.073962,0.272775,0.271959,pdr
222,CMCSA,44,0.226028,0.204977,0.092987,0.075832,0.304937,0.275377,pdr
223,CME,55,0.895520,0.894593,3.505835,3.505858,1.872388,1.872394,beta_div
224,CMI,45,1.060851,0.989094,1.661799,1.497998,1.289108,1.223927,pdr
225,CMP,41,0.289312,0.292600,0.171948,0.172007,0.414666,0.414737,beta_div
226,CMS,45,0.204705,0.198982,0.077684,0.073837,0.278718,0.271729,pdr
227,CMU,134,0.017163,0.015993,0.000558,0.000451,0.023632,0.021241,pdr
228,CNA,45,0.175554,0.182794,0.052038,0.053254,0.228118,0.230769,beta_div
229,CNMD,44,0.587376,0.587376,0.876467,0.876467,0.936198,0.936198,pdr
230,CNO,44,0.164340,0.164543,0.068222,0.068027,0.261194,0.260821,pdr
231,CNOB,45,0.165864,0.144518,0.044074,0.037803,0.209937,0.194430,pdr
232,CNP,45,0.129674,0.091237,0.025477,0.015551,0.159617,0.124702,pdr
233,CNQ,44,0.211905,0.213860,0.089543,0.087764,0.299237,0.296250,pdr
234,CNS,45,0.340650,0.341621,0.341185,0.340545,0.584110,0.583562,pdr
235,CODI,46,0.142586,0.142751,0.034374,0.034175,0.185402,0.184865,pdr
236,COKE,45,1.308285,1.791872,4.167642,16.969132,2.041480,4.119361,beta_div
237,COLB,45,0.387698,0.381275,0.665911,0.665665,0.816034,0.815883,pdr
